Timestamp,GPGGA Latitude,GPGGA Longitude,Actual Engine RPM,GroundSpeed,HoistRaiseSolenoidCurrent,distance_mile,cumsum_mile,idling,Stationed,Coupled,Loading,GPGGA Latitude_2,GPGGA Longitude_2,Actual Engine RPM_2,GroundSpeed_2,distance_mile_2,cumsum_mile_2,Delta_cumsumMile,Loading_2,Delta_loading,Coupled_2,BodyDwnLoadCat,GPGGA Latitude_1,GPGGA Longitude_1,mile_cycle,Delta,bodyup,Coupled_1,BodyUpCat
2015-06-23 07:08:13,30.052,-95.622,698.54,0.0,0.0,,,1,0,"(30.052, -95.622)",0,,,,,,,,,,,,,,,,,,
2015-06-23 07:08:14,30.052,-95.622,699.45,0.0,0.0,0.0,0.0,0,1,"(30.052, -95.622)",1,,,,,,,,,,,,,,,,,,
2015-06-23 07:08:15,30.052,-95.622,699.69,0.0,0.0,0.0,0.0,0,1,"(30.052, -95.622)",1,30.052,-95.622,699.69,0.0,0.0,0.0,0.0,1.0,0 days 00:00:01.000000000,"(30.052, -95.622)",BodyDwnLoad0,,,,,,,
2015-06-23 07:08:16,30.052,-95.622,699.61,0.0,0.0,0.0,0.0,0,1,"(30.052, -95.622)",1,,,,,,,,,,,,,,,,,,
2015-06-23 07:08:17,30.052,-95.622,699.38,0.0,0.0,0.0,0.0,0,1,"(30.052, -95.622)",1,,,,,,,,,,,,,,,,,,
2015-06-23 07:08:18,30.052,-95.622,700.51,0.0,0.0,0.0,0.0,0,1,"(30.052, -95.622)",1,,,,,,,,,,,,,,,,,,
2015-06-23 07:08:19,30.052,-95.622,699.08,0.0,0.0,0.0,0.0,0,1,"(30.052, -95.622)",1,,,,,,,,,,,,,,,,,,
2015-06-23 07:08:20,30.052,-95.622,699.4,0.0,0.0,0.0,0.0,0,1,"(30.052, -95.622)",1,,,,,,,,,,,,,,,,,,
2015-06-23 07:08:21,30.052,-95.622,698.99,0.0,0.0,0.0,0.0,0,1,"(30.052, -95.622)",1,,,,,,,,,,,,,,,,,,
2015-06-23 07:08:22,30.052,-95.622,698.87,0.0,0.0,0.0,0.0,0,1,"(30.052, -95.622)",1,,,,,,,,,,,,,,,,,,
2015-06-23 07:08:23,30.052,-95.622,700.01,0.0,0.0,0.0,0.0,0,1,"(30.052, -95.622)",1,,,,,,,,,,,,,,,,,,
2015-06-23 07:08:24,30.052,-95.622,700.06,0.0,0.0,0.0,0.0,0,1,"(30.052, -95.622)",1,,,,,,,,,,,,,,,,,,
2015-06-23 07:08:25,30.052,-95.622,701.5,0.0,0.0,0.0,0.0,0,1,"(30.052, -95.622)",1,,,,,,,,,,,,,,,,,,
2015-06-23 07:08:26,30.052,-95.622,708.17,0.0,0.0,0.0,0.0,0,1,"(30.052, -95.622)",1,,,,,,,,,,,,,,,,,,
2015-06-23 07:08:27,30.052,-95.622,668.05,0.0,0.0,0.0,0.0,0,1,"(30.052, -95.622)",1,,,,,,,,,,,,,,,,,,
2015-06-23 07:08:28,30.052,-95.622,733.42,0.0,0.0,0.0,0.0,0,1,"(30.052, -95.622)",1,,,,,,,,,,,,,,,,,,
2015-06-23 07:08:29,30.052,-95.622,874.03,0.0,0.0,0.0,0.0,0,1,"(30.052, -95.622)",1,,,,,,,,,,,,,,,,,,
2015-06-23 07:08:30,30.052,-95.622,946.86,0.0,0.0,0.0,0.0,1,1,"(30.052, -95.622)",0,,,,,,,,,,,,,,,,,,
2015-06-23 07:08:31,30.052,-95.622,963.27,0.0,0.0,0.0,0.0,1,1,"(30.052, -95.622)",0,,,,,,,,,,,,,,,,,,
2015-06-23 07:08:32,30.052,-95.622,1176.43,0.44,0.0,0.0,0.0,0,1,"(30.052, -95.622)",0,,,,,,,,,,,,,,,,,,
2015-06-23 07:08:33,30.052,-95.622,1267.33,2.34,0.0,0.0,0.0,0,1,"(30.052, -95.622)",0,,,,,,,,,,,,,,,,,,
2015-06-23 07:08:34,30.052,-95.622,1355.46,2.61,0.0,0.0,0.0,0,1,"(30.052, -95.622)",0,,,,,,,,,,,,,,,,,,
2015-06-23 07:08:35,30.052,-95.622,1369.8,3.0,0.0,0.0,0.0,0,1,"(30.052, -95.622)",0,,,,,,,,,,,,,,,,,,
2015-06-23 07:08:36,30.052,-95.622,1430.22,3.0,0.0,0.0,0.0,0,1,"(30.052, -95.622)",0,,,,,,,,,,,,,,,,,,
2015-06-23 07:08:37,30.052,-95.622,1551.43,3.4,0.0,0.0,0.0,0,1,"(30.052, -95.622)",0,,,,,,,,,,,,,,,,,,
2015-06-23 07:08:38,30.052,-95.622,1517.36,3.77,0.0,0.0,0.0,0,1,"(30.052, -95.622)",0,,,,,,,,,,,,,,,,,,
2015-06-23 07:08:39,30.052,-95.622,1485.39,3.95,0.0,0.0,0.0,0,1,"(30.052, -95.622)",0,,,,,,,,,,,,,,,,,,
2015-06-23 07:08:40,30.052,-95.6219,1390.61,3.5,0.0,0.00690499442215,0.00690499442215,0,0,"(30.052, -95.621899999999997)",0,,,,,,,,,,,,,,,,,,
2015-06-23 07:08:41,30.052,-95.6219,1374.63,3.5,0.0,0.0,0.00690499442215,0,1,"(30.052, -95.621899999999997)",0,,,,,,,,,,,,,,,,,,
2015-06-23 07:08:42,30.0519,-95.6219,1349.55,3.5,0.0,0.000676436009076,0.00758143043122,0,0,"(30.0519, -95.621899999999997)",0,,,,,,,,,,,,,,,,,,
2015-06-23 07:08:43,30.0519,-95.6219,1356.08,3.5,0.0,0.0,0.00758143043122,0,1,"(30.0519, -95.621899999999997)",0,,,,,,,,,,,,,,,,,,
2015-06-23 07:08:44,30.0519,-95.6219,1321.58,3.5,0.0,0.0,0.00758143043122,0,1,"(30.0519, -95.621899999999997)",0,,,,,,,,,,,,,,,,,,
2015-06-23 07:08:45,30.0519,-95.622,1287.93,3.42,0.0,0.00690499442215,0.0144864248534,0,0,"(30.0519, -95.622)",0,,,,,,,,,,,,,,,,,,
2015-06-23 07:08:46,30.0519,-95.622,1252.09,3.35,0.0,0.0,0.0144864248534,0,1,"(30.0519, -95.622)",0,,,,,,,,,,,,,,,,,,
2015-06-23 07:08:47,30.0519,-95.622,1311.16,3.46,0.0,0.0,0.0144864248534,0,1,"(30.0519, -95.622)",0,,,,,,,,,,,,,,,,,,
2015-06-23 07:08:48,30.0518,-95.622,1313.91,3.5,0.0,0.000676448002597,0.015162872856,0,0,"(30.0518, -95.622)",0,,,,,,,,,,,,,,,,,,
2015-06-23 07:08:49,30.0518,-95.622,1157.06,3.09,0.0,0.0,0.015162872856,0,1,"(30.0518, -95.622)",0,,,,,,,,,,,,,,,,,,
2015-06-23 07:08:50,30.0518,-95.622,678.53,1.73,0.0,0.0,0.015162872856,0,1,"(30.0518, -95.622)",0,,,,,,,,,,,,,,,,,,
2015-06-23 07:08:51,30.0518,-95.6221,623.79,1.04,0.0,0.00690499442215,0.0220678672781,0,0,"(30.0518, -95.622100000000003)",0,,,,,,,,,,,,,,,,,,
2015-06-23 07:08:52,30.0518,-95.6221,734.73,1.02,0.0,0.0,0.0220678672781,0,1,"(30.0518, -95.622100000000003)",0,,,,,,,,,,,,,,,,,,
2015-06-23 07:08:53,30.0518,-95.6221,1144.52,1.9,0.0,0.0,0.0220678672781,0,1,"(30.0518, -95.622100000000003)",0,,,,,,,,,,,,,,,,,,
2015-06-23 07:08:54,30.0519,-95.6221,1487.3,3.05,0.0,0.000676459996115,0.0227443272742,0,0,"(30.0519, -95.622100000000003)",0,,,,,,,,,,,,,,,,,,
2015-06-23 07:08:55,30.0519,-95.6221,1640.84,3.94,0.0,0.0,0.0227443272742,0,1,"(30.0519, -95.622100000000003)",0,,,,,,,,,,,,,,,,,,
2015-06-23 07:08:56,30.0519,-95.6221,1477.2,3.74,0.0,0.0,0.0227443272742,0,1,"(30.0519, -95.622100000000003)",0,,,,,,,,,,,,,,,,,,
2015-06-23 07:08:57,30.0519,-95.6221,1340.51,3.5,0.0,0.0,0.0227443272742,0,1,"(30.0519, -95.622100000000003)",0,,,,,,,,,,,,,,,,,,
2015-06-23 07:08:58,30.0519,-95.6221,1214.65,3.1,0.0,0.0,0.0227443272742,0,1,"(30.0519, -95.622100000000003)",0,,,,,,,,,,,,,,,,,,
2015-06-23 07:08:59,30.0519,-95.6222,1011.92,2.73,0.0,0.00690499442215,0.0296493216964,0,0,"(30.0519, -95.622200000000007)",0,,,,,,,,,,,,,,,,,,
2015-06-23 07:09:00,30.0519,-95.6222,776.66,1.86,0.0,0.0,0.0296493216964,0,1,"(30.0519, -95.622200000000007)",0,,,,,,,,,,,,,,,,,,
2015-06-23 07:09:01,30.0519,-95.6222,661.11,1.26,0.0,0.0,0.0296493216964,0,1,"(30.0519, -95.622200000000007)",0,,,,,,,,,,,,,,,,,,
2015-06-23 07:09:02,30.0519,-95.6222,681.3,1.0,0.0,0.0,0.0296493216964,0,1,"(30.0519, -95.622200000000007)",0,,,,,,,,,,,,,,,,,,
2015-06-23 07:09:03,30.0519,-95.6222,682.15,0.78,0.0,0.0,0.0296493216964,0,1,"(30.0519, -95.622200000000007)",0,,,,,,,,,,,,,,,,,,
2015-06-23 07:09:04,30.0519,-95.6222,694.39,0.0,0.0,0.0,0.0296493216964,0,1,"(30.0519, -95.622200000000007)",1,30.0519,-95.6222,694.39,0.0,0.0,0.0296493216964,0.0296493216964,1.0,0 days 00:00:35.000000000,"(30.0519, -95.622200000000007)",BodyDwnLoad_sub_0_0_1,,,,,,,
2015-06-23 07:09:05,30.0519,-95.6222,697.65,0.0,0.0,0.0,0.0296493216964,0,1,"(30.0519, -95.622200000000007)",1,30.0519,-95.6222,697.65,0.0,0.0,0.0296493216964,0.0,1.0,0 days 00:00:01.000000000,"(30.0519, -95.622200000000007)",BodyDwnLoad_0_1,,,,,,,
2015-06-23 07:09:06,30.0519,-95.6222,698.41,0.0,0.0,0.0,0.0296493216964,0,1,"(30.0519, -95.622200000000007)",1,,,,,,,,,,,,,,,,,,
2015-06-23 07:09:07,30.0519,-95.6222,699.45,0.0,0.0,0.0,0.0296493216964,0,1,"(30.0519, -95.622200000000007)",1,,,,,,,,,,,,,,,,,,
2015-06-23 07:09:08,30.0519,-95.6222,699.62,0.0,0.0,0.0,0.0296493216964,0,1,"(30.0519, -95.622200000000007)",1,,,,,,,,,,,,,,,,,,
